source_workbook,release_year,table,vehicle_type,year,jurisdiction,average_age_years
93090do001_2019.xls,2019,Table 3,Buses,2018,SA,11.7295
93090do001_2019.xls,2019,Table 3,Buses,2018,TAS,15.4598
93090do001_2019.xls,2019,Table 3,Buses,2018,VIC,12.0431
93090do001_2019.xls,2019,Table 3,Buses,2018,WA,11.4492
93090do001_2020.xls,2020,Table 3,Buses,2019,ACT,10.4
93090do001_2020.xls,2020,Table 3,Buses,2019,AUS,11.6
93090do001_2020.xls,2020,Table 3,Buses,2019,NSW,11.5
93090do001_2020.xls,2020,Table 3,Buses,2019,NT,9.9
93090do001_2020.xls,2020,Table 3,Buses,2019,QLD,11.1
93090do001_2020.xls,2020,Table 3,Buses,2019,SA,11.8
93090do001_2020.xls,2020,Table 3,Buses,2019,TAS,15.3
93090do001_2020.xls,2020,Table 3,Buses,2019,VIC,12.1
93090do001_2020.xls,2020,Table 3,Buses,2019,WA,11.6
93090do001_2021.xls,2021,Table 3,Buses,2020,ACT,10.8
93090do001_2021.xls,2021,Table 3,Buses,2020,AUS,11.7
93090do001_2021.xls,2021,Table 3,Buses,2020,NSW,11.5
93090do001_2021.xls,2021,Table 3,Buses,2020,NT,10.4
93090do001_2021.xls,2021,Table 3,Buses,2020,QLD,11.5
93090do001_2021.xls,2021,Table 3,Buses,2020,SA,11.5
93090do001_2021.xls,2021,Table 3,Buses,2020,TAS,14.9
93090do001_2021.xls,2021,Table 3,Buses,2020,VIC,12.1
93090do001_2021.xls,2021,Table 3,Buses,2020,WA,11.7
93090do001_2021.xls,2021,Table 3,Buses,2021,ACT,10.1
93090do001_2021.xls,2021,Table 3,Buses,2021,AUS,11.9
93090do001_2021.xls,2021,Table 3,Buses,2021,NSW,11.7
93090do001_2021.xls,2021,Table 3,Buses,2021,NT,10.6
93090do001_2021.xls,2021,Table 3,Buses,2021,QLD,11.8
93090do001_2021.xls,2021,Table 3,Buses,2021,SA,11.8
93090do001_2021.xls,2021,Table 3,Buses,2021,TAS,14.9
93090do001_2021.xls,2021,Table 3,Buses,2021,VIC,12.4
93090do001_2021.xls,2021,Table 3,Buses,2021,WA,11.6
93090DO001_31201501.xls,2015,Table 3,Campervans,2010,ACT,19.1
93090DO001_31201501.xls,2015,Table 3,Campervans,2010,AUS,18.0
93090DO001_31201501.xls,2015,Table 3,Campervans,2010,NSW,16.6
93090DO001_31201501.xls,2015,Table 3,Campervans,2010,NT,19.6
93090DO001_31201501.xls,2015,Table 3,Campervans,2010,QLD,14.4
93090DO001_31201501.xls,2015,Table 3,Campervans,2010,SA,21.8
93090DO001_31201501.xls,2015,Table 3,Campervans,2010,TAS,20.6
93090DO001_31201501.xls,2015,Table 3,Campervans,2010,VIC,18.2
93090DO001_31201501.xls,2015,Table 3,Campervans,2010,WA,21.3
93090do001_2016.xls,2016,Table 3,Campervans,2011,ACT,19.5
93090do001_2016.xls,2016,Table 3,Campervans,2011,AUS,17.8
93090do001_2016.xls,2016,Table 3,Campervans,2011,NSW,16.2
93090do001_2016.xls,2016,Table 3,Campervans,2011,NT,19.5
93090do001_2016.xls,2016,Table 3,Campervans,2011,QLD,14.1
93090do001_2016.xls,2016,Table 3,Campervans,2011,SA,21.8
93090do001_2016.xls,2016,Table 3,Campervans,2011,TAS,20.3
93090do001_2016.xls,2016,Table 3,Campervans,2011,VIC,17.8
93090do001_2016.xls,2016,Table 3,Campervans,2011,WA,21.6
93090do001_2017.xls,2017,Table 3,Campervans,2012,ACT,19.0
93090do001_2017.xls,2017,Table 3,Campervans,2012,AUS,17.6
93090do001_2017.xls,2017,Table 3,Campervans,2012,NSW,16.0
93090do001_2017.xls,2017,Table 3,Campervans,2012,NT,19.3
93090do001_2017.xls,2017,Table 3,Campervans,2012,QLD,14.1
93090do001_2017.xls,2017,Table 3,Campervans,2012,SA,21.5
93090do001_2017.xls,2017,Table 3,Campervans,2012,TAS,20.5
93090do001_2017.xls,2017,Table 3,Campervans,2012,VIC,17.6
93090do001_2017.xls,2017,Table 3,Campervans,2012,WA,21.7
93090do001_2018.xls,2018,Table 3,Campervans,2013,ACT,18.8
93090do001_2018.xls,2018,Table 3,Campervans,2013,AUS,17.6
93090do001_2018.xls,2018,Table 3,Campervans,2013,NSW,15.8
93090do001_2018.xls,2018,Table 3,Campervans,2013,NT,20.0
93090do001_2018.xls,2018,Table 3,Campervans,2013,QLD,14.2
93090do001_2018.xls,2018,Table 3,Campervans,2013,SA,21.6
93090do001_2018.xls,2018,Table 3,Campervans,2013,TAS,20.8
93090do001_2018.xls,2018,Table 3,Campervans,2013,VIC,17.5
93090do001_2018.xls,2018,Table 3,Campervans,2013,WA,21.8
93090do001_2019.xls,2019,Table 3,Campervans,2014,ACT,18.7
93090do001_2019.xls,2019,Table 3,Campervans,2014,AUS,17.6
93090do001_2019.xls,2019,Table 3,Campervans,2014,NSW,15.8
93090do001_2019.xls,2019,Table 3,Campervans,2014,NT,19.7
93090do001_2019.xls,2019,Table 3,Campervans,2014,QLD,14.4
93090do001_2019.xls,2019,Table 3,Campervans,2014,SA,21.6
93090do001_2019.xls,2019,Table 3,Campervans,2014,TAS,21.2
