source_workbook,release_year,table,vehicle_type,year,jurisdiction,vehicles
93090do001_2020.xls,2020,Table 1,Heavy rigid trucks,2015,SA,22982.0
93090do001_2020.xls,2020,Table 1,Heavy rigid trucks,2015,TAS,8773.0
93090do001_2020.xls,2020,Table 1,Heavy rigid trucks,2015,VIC,78446.0
93090do001_2020.xls,2020,Table 1,Heavy rigid trucks,2015,WA,54366.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2016,ACT,1621.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2016,AUS,334812.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2016,NSW,91242.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2016,NT,4724.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2016,QLD,71776.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2016,SA,22886.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2016,TAS,8838.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2016,VIC,79506.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2016,WA,54219.0
93090do001_2018.xls,2018,Table 1,Heavy rigid trucks,2017,ACT,1614.0
93090do001_2018.xls,2018,Table 1,Heavy rigid trucks,2017,AUS,341179.0
93090do001_2018.xls,2018,Table 1,Heavy rigid trucks,2017,NSW,94933.0
93090do001_2018.xls,2018,Table 1,Heavy rigid trucks,2017,NT,4633.0
93090do001_2018.xls,2018,Table 1,Heavy rigid trucks,2017,QLD,72544.0
93090do001_2018.xls,2018,Table 1,Heavy rigid trucks,2017,SA,23096.0
93090do001_2018.xls,2018,Table 1,Heavy rigid trucks,2017,TAS,8999.0
93090do001_2018.xls,2018,Table 1,Heavy rigid trucks,2017,VIC,81461.0
93090do001_2018.xls,2018,Table 1,Heavy rigid trucks,2017,WA,53899.0
93090do001_2019.xls,2019,Table 1,Heavy rigid trucks,2018,ACT,1610.0
93090do001_2019.xls,2019,Table 1,Heavy rigid trucks,2018,AUS,346966.0
93090do001_2019.xls,2019,Table 1,Heavy rigid trucks,2018,NSW,97953.0
93090do001_2019.xls,2019,Table 1,Heavy rigid trucks,2018,NT,4718.0
93090do001_2019.xls,2019,Table 1,Heavy rigid trucks,2018,QLD,73896.0
93090do001_2019.xls,2019,Table 1,Heavy rigid trucks,2018,SA,22918.0
93090do001_2019.xls,2019,Table 1,Heavy rigid trucks,2018,TAS,9271.0
93090do001_2019.xls,2019,Table 1,Heavy rigid trucks,2018,VIC,83233.0
93090do001_2019.xls,2019,Table 1,Heavy rigid trucks,2018,WA,53367.0
93090do001_2020.xls,2020,Table 1,Heavy rigid trucks,2019,ACT,1651.0
93090do001_2020.xls,2020,Table 1,Heavy rigid trucks,2019,AUS,353759.0
93090do001_2020.xls,2020,Table 1,Heavy rigid trucks,2019,NSW,100546.0
93090do001_2020.xls,2020,Table 1,Heavy rigid trucks,2019,NT,4638.0
93090do001_2020.xls,2020,Table 1,Heavy rigid trucks,2019,QLD,75255.0
93090do001_2020.xls,2020,Table 1,Heavy rigid trucks,2019,SA,22828.0
93090do001_2020.xls,2020,Table 1,Heavy rigid trucks,2019,TAS,9510.0
93090do001_2020.xls,2020,Table 1,Heavy rigid trucks,2019,VIC,86103.0
93090do001_2020.xls,2020,Table 1,Heavy rigid trucks,2019,WA,53228.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2020,ACT,1583.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2020,AUS,358834.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2020,NSW,101814.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2020,NT,4593.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2020,QLD,76083.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2020,SA,22713.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2020,TAS,9761.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2020,VIC,88175.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2020,WA,54112.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2021,ACT,1649.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2021,AUS,364989.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2021,NSW,103743.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2021,NT,4647.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2021,QLD,77569.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2021,SA,22874.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2021,TAS,10042.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2021,VIC,89747.0
93090do001_2021.xls,2021,Table 1,Heavy rigid trucks,2021,WA,54718.0
93090DO001_31201501.xls,2015,Table 1,Light commercial vehicles,2010,ACT,24194.0
93090DO001_31201501.xls,2015,Table 1,Light commercial vehicles,2010,AUS,2460568.0
93090DO001_31201501.xls,2015,Table 1,Light commercial vehicles,2010,NSW,656233.0
93090DO001_31201501.xls,2015,Table 1,Light commercial vehicles,2010,NT,34864.0
93090DO001_31201501.xls,2015,Table 1,Light commercial vehicles,2010,QLD,638801.0
93090DO001_31201501.xls,2015,Table 1,Light commercial vehicles,2010,SA,167251.0
93090DO001_31201501.xls,2015,Table 1,Light commercial vehicles,2010,TAS,84811.0
93090DO001_31201501.xls,2015,Table 1,Light commercial vehicles,2010,VIC,545898.0
93090DO001_31201501.xls,2015,Table 1,Light commercial vehicles,2010,WA,308516.0
93090do001_2016.xls,2016,Table 1,Light commercial vehicles,2011,ACT,25338.0
93090do001_2016.xls,2016,Table 1,Light commercial vehicles,2011,AUS,2530630.0
93090do001_2016.xls,2016,Table 1,Light commercial vehicles,2011,NSW,675152.0
93090do001_2016.xls,2016,Table 1,Light commercial vehicles,2011,NT,36005.0
93090do001_2016.xls,2016,Table 1,Light commercial vehicles,2011,QLD,653400.0
93090do001_2016.xls,2016,Table 1,Light commercial vehicles,2011,SA,172631.0
93090do001_2016.xls,2016,Table 1,Light commercial vehicles,2011,TAS,87113.0
93090do001_2016.xls,2016,Table 1,Light commercial vehicles,2011,VIC,562844.0
93090do001_2016.xls,2016,Table 1,Light commercial vehicles,2011,WA,318147.0
93090do001_2017.xls,2017,Table 1,Light commercial vehicles,2012,ACT,26435.0
93090do001_2017.xls,2017,Table 1,Light commercial vehicles,2012,AUS,2617799.0
93090do001_2017.xls,2017,Table 1,Light commercial vehicles,2012,NSW,694775.0
93090do001_2017.xls,2017,Table 1,Light commercial vehicles,2012,NT,37537.0
93090do001_2017.xls,2017,Table 1,Light commercial vehicles,2012,QLD,678393.0
93090do001_2017.xls,2017,Table 1,Light commercial vehicles,2012,SA,176834.0
93090do001_2017.xls,2017,Table 1,Light commercial vehicles,2012,TAS,90681.0
93090do001_2017.xls,2017,Table 1,Light commercial vehicles,2012,VIC,580727.0
93090do001_2017.xls,2017,Table 1,Light commercial vehicles,2012,WA,332417.0
93090do001_2018.xls,2018,Table 1,Light commercial vehicles,2013,ACT,27347.0
93090do001_2018.xls,2018,Table 1,Light commercial vehicles,2013,AUS,2717673.0
93090do001_2018.xls,2018,Table 1,Light commercial vehicles,2013,NSW,720854.0
93090do001_2018.xls,2018,Table 1,Light commercial vehicles,2013,NT,40292.0
93090do001_2018.xls,2018,Table 1,Light commercial vehicles,2013,QLD,710842.0
93090do001_2018.xls,2018,Table 1,Light commercial vehicles,2013,SA,181792.0
93090do001_2018.xls,2018,Table 1,Light commercial vehicles,2013,TAS,92196.0
93090do001_2018.xls,2018,Table 1,Light commercial vehicles,2013,VIC,596530.0
93090do001_2018.xls,2018,Table 1,Light commercial vehicles,2013,WA,347820.0
93090do001_2019.xls,2019,Table 1,Light commercial vehicles,2014,ACT,28464.0
93090do001_2019.xls,2019,Table 1,Light commercial vehicles,2014,AUS,2824052.0
93090do001_2019.xls,2019,Table 1,Light commercial vehicles,2014,NSW,747280.0
93090do001_2019.xls,2019,Table 1,Light commercial vehicles,2014,NT,42323.0
93090do001_2019.xls,2019,Table 1,Light commercial vehicles,2014,QLD,740554.0
93090do001_2019.xls,2019,Table 1,Light commercial vehicles,2014,SA,188196.0
93090do001_2019.xls,2019,Table 1,Light commercial vehicles,2014,TAS,94437.0
93090do001_2019.xls,2019,Table 1,Light commercial vehicles,2014,VIC,616579.0
93090do001_2019.xls,2019,Table 1,Light commercial vehicles,2014,WA,366219.0
93090do001_2020.xls,2020,Table 1,Light commercial vehicles,2015,ACT,29177.0
93090do001_2020.xls,2020,Table 1,Light commercial vehicles,2015,AUS,2907006.0
93090do001_2020.xls,2020,Table 1,Light commercial vehicles,2015,NSW,776171.0
93090do001_2020.xls,2020,Table 1,Light commercial vehicles,2015,NT,43470.0
93090do001_2020.xls,2020,Table 1,Light commercial vehicles,2015,QLD,758520.0
