year,dependence,scenario_family,n_samples,weak_alignment_probability,favorable_alignment_probability,fossil_persistence_probability,emissions_pressure_probability,activity_pressure_probability,bev_fcev_share_nsw_p05,bev_fcev_share_nsw_p50,bev_fcev_share_nsw_p95,hybrid_share_nsw_p05,hybrid_share_nsw_p50,hybrid_share_nsw_p95,renewable_share_nsw_p05,renewable_share_nsw_p50,renewable_share_nsw_p95,fossil_share_nsw_p05,fossil_share_nsw_p50,fossil_share_nsw_p95,road_direct_emissions_national_p05,road_direct_emissions_national_p50,road_direct_emissions_national_p95,alignment_gap_p05,alignment_gap_p50,alignment_gap_p95
2028,student_t,conservative,20000,0.0,0.0,1.0,1.0,1.0,1.6467867843516915,1.866358641157678,2.0884255556398332,4.698882583521121,4.941961965957673,5.188582080668911,48.528078901911584,50.235353565285955,51.93419222481138,90.71685705893516,90.96812793406694,91.21649573193154,88.96362289104518,90.06224553192388,91.17562558530588,46.72809855925786,48.365892839060464,50.0015961989803
2029,student_t,conservative,20000,0.0,0.0,1.0,1.0,1.0,1.7867736927325237,2.081625629314389,2.375285076332281,5.034648897196235,5.3613092679254395,5.683999502224401,51.79764791258628,53.73592077575735,55.721072006042945,89.32677123983032,89.61371661393255,89.89991877592597,89.8430127942575,91.12842994970421,92.38699837311817,49.802050942348465,51.65636174419285,53.541592123013416
2030,student_t,conservative,20000,0.0,0.0,1.0,1.0,1.0,1.9280015312731646,2.297197630217846,2.6649194561661984,5.368345722803506,5.77462609728909,6.181570410924266,55.09268095611774,57.32300855984927,59.50491870893875,87.92712585914816,88.25198862655074,88.57047221353932,90.70384500165423,92.10931984974886,93.55955345555853,52.91360339798109,55.01891664639666,57.10832354024306
2026,student_t,central,20000,0.21125,0.29285,0.7215,0.49845,0.50485,1.355153377316647,1.5210547827955136,1.7210082489082872,4.022625431648194,4.203983597307162,4.563800824857495,42.3246651530764,44.53283631182207,46.25774011347903,93.21145534185762,93.44357409736443,93.70794299848446,85.4916603829237,87.12376462725466,88.55052784498788,40.83946456915074,42.99549902302306,44.7040038176669
2027,student_t,central,20000,0.2115,0.29085,0.72,0.50755,0.501,1.4881073168790562,1.8178356601873986,2.2198170600623364,4.347565796455187,4.712309628316515,5.429916582873788,45.22651573876958,48.30482140410113,50.78872368960101,91.7280655795821,92.05341738493168,92.4156820182617,85.66601660173147,88.02380344541481,89.9919084520844,43.432282258444275,46.44100700104629,48.927485419353296
2028,student_t,central,20000,0.2096,0.2858,0.72175,0.50215,0.503,1.6210612564414653,2.106085103783802,2.718625871216385,4.672506161262179,5.211587916687924,6.296032340890081,48.3394819650878,52.12210475532054,55.15176762648211,90.24864259476696,90.6522202673315,91.10894776048902,85.998497184764,88.85666634952915,91.29661104267842,46.23337972293321,49.95021020886868,53.02226084829635
2029,student_t,central,20000,0.2098,0.2931,0.721,0.5037,0.50305,1.7540151960038743,2.413298068973971,3.2174346823704347,4.997446526069171,5.726656159946059,7.162148098906374,51.56172968843159,55.967748315432644,59.42787960923685,88.78756707961514,89.25424394136402,89.76879445060148,86.41282896170874,89.72025929948833,92.5305638858371,49.143492222060246,53.46825021293476,57.00765391498878
2030,student_t,central,20000,0.2137,0.2873,0.72285,0.4994,0.4981,1.8869691355662837,2.7081005421683697,3.716243493524484,5.322386890876164,6.222353650056796,8.028263856922667,54.8538143106242,59.734710888037945,63.64843728268678,87.32707487057598,87.84657474809856,88.4177047596607,86.87946816219255,90.5411474985421,93.71930374153033,52.07734842025165,56.91500102974149,60.93176806455013
2026,student_t,optimistic,20000,0.0,1.0,0.0,0.0,0.0,1.5291774459740777,1.6193166684516407,1.7111559736902768,4.221492880567015,4.382907330532955,4.545570819750213,44.60454127219026,45.3837501304557,46.17045770375138,93.19105832872033,93.25355992411153,93.31747140676306,85.57335156458815,86.31181827643812,87.04962745237675,43.01197186860396,43.766699938284525,44.52126290596501
2027,student_t,optimistic,20000,0.0,1.0,0.0,0.0,0.0,1.8356814612457761,2.015990456507392,2.199037678343507,4.743596533819266,5.072573930473975,5.395933405815352,48.44564580310595,49.56094368182993,50.661713044617535,91.69670936457713,91.78638181913497,91.87494640340606,85.7886537417539,86.82347516440971,87.86897573025296,46.48700409253654,47.5429109313213,48.594052708411525
2028,student_t,optimistic,20000,0.0,1.0,0.0,0.0,0.0,2.1417964298600087,2.4102940463551885,2.6877125145076697,5.271847208345821,5.753996971722243,6.243298554580595,52.28035649507799,53.64169130458015,54.99561341622134,90.21863117190274,90.32740892883555,90.43674276806684,86.14148235272073,87.41411111623894,88.69959436395892,49.93793349123786,51.22772137740942,52.52549558180508
2029,student_t,optimistic,20000,0.0,1.0,0.0,0.0,0.0,2.4481443541229746,2.8106391339729946,3.17663325584045,5.796968012259794,6.438799123720422,7.086020624969842,56.11441094202876,57.67468121668166,59.2540483859033,88.7474511805947,88.87423837557157,88.99919199977671,86.58360393125021,88.0544110842304,89.53922349648707,53.37140039616652,54.86326687592522,56.373980671928415
2030,student_t,optimistic,20000,0.0,1.0,0.0,0.0,0.0,2.755646737527855,3.2101195983820916,3.6624360946826364,6.315115405768666,7.133622383494055,7.935774211354245,59.94351970001993,61.71114354078766,63.45296940276198,87.28216780143701,87.42247927487355,87.56425925956361,87.06090354865457,88.71307581380799,90.36735655461395,56.80414802420916,58.493407040672295,60.180387002901
2026,student_t,stress_tail,20000,0.0,0.0,1.0,1.0,1.0,1.355153377316647,1.3794498255681222,1.4311561404091069,4.022625431648194,4.049307212612408,4.107011712137212,42.3246651530764,42.65624100575842,43.342324291922104,93.71166667486038,93.79421476705097,93.88574746539305,87.89076403100019,88.3379895518445,88.55052784498788,40.91472981743072,41.272748662892205,41.942547707769556
2027,student_t,stress_tail,20000,0.0,0.0,1.0,1.0,1.0,1.4881073168790562,1.535772562284191,1.639944433218082,4.347565796455187,4.40115954585843,4.515422917475154,45.22651573876958,45.69302506754329,46.66690390070915,92.43394660016618,92.54912794423575,92.67800418854462,89.05789802213519,89.6911515334349,89.9919084520844,43.62880749884981,44.15096467802114,45.09737828218055
2028,student_t,stress_tail,20000,0.0,0.0,1.0,1.0,1.0,1.6210612564414653,1.694815607078946,1.8493302980532773,4.672506161262179,4.752350568293439,4.9244050341357015,48.3394819650878,48.90059921514322,50.100949890705245,91.11668772881917,91.26157127859733,91.41857339262398,90.15612644527718,90.92944186351568,91.29661104267842,46.551183559853,47.19948818101609,48.35561733187498
2029,student_t,stress_tail,20000,0.0,0.0,1.0,1.0,1.0,1.7540151960038743,1.851637397563656,2.0575322270028686,4.997446526069171,5.107515809026562,5.333745342457799,51.56172968843159,52.19789190567177,53.59574252664737,89.78405729770772,89.9531913804959,90.13530808823405,91.21426406526348,92.10623402851556,92.5305638858371,49.58472028131096,50.333179847938666,51.669348814937784
2030,student_t,stress_tail,20000,0.0,0.0,1.0,1.0,1.0,1.8869691355662837,2.0079480145054376,2.267335769560193,5.322386890876164,5.4564073684004235,5.743318270903085,54.8538143106242,55.58929556500512,57.12713656751192,88.44609752540295,88.63257970222412,88.83550720480565,92.24402370048422,93.23515163193616,93.71930374153033,52.685817149276424,53.551705294438094,55.0283834720613
