source_workbook,sheet,topic,section,period_type,period,variable,variable_slug,measure,value,unit
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1989-90,Total civil domestic (including off-road recreational vehicles),total_civil_domestic_including_off_road_recreational_vehicles,direct_ghg_emissions,62.655084516410625,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1990-91,Road vehicles (including off-road vehicles such as trail bikes),road_vehicles_including_off_road_vehicles_such_as_trail_bikes,direct_ghg_emissions,54.55242612610865,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1990-91,Rail (excluding electricity generation),rail_excluding_electricity_generation,direct_ghg_emissions,1.7372553663610417,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1990-91,Domestic maritime (including small craft),domestic_maritime_including_small_craft,direct_ghg_emissions,2.161825084282755,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1990-91,Domestic aviation (including general aviation),domestic_aviation_including_general_aviation,direct_ghg_emissions,3.5434337887348253,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1990-91,Total civil domestic (including off-road recreational vehicles),total_civil_domestic_including_off_road_recreational_vehicles,direct_ghg_emissions,61.99494036548727,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1991-92,Road vehicles (including off-road vehicles such as trail bikes),road_vehicles_including_off_road_vehicles_such_as_trail_bikes,direct_ghg_emissions,55.26303893432962,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1991-92,Rail (excluding electricity generation),rail_excluding_electricity_generation,direct_ghg_emissions,1.6888458466948766,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1991-92,Domestic maritime (including small craft),domestic_maritime_including_small_craft,direct_ghg_emissions,2.2186548069348566,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1991-92,Domestic aviation (including general aviation),domestic_aviation_including_general_aviation,direct_ghg_emissions,3.846549007228149,Mt CO2-e
