source_workbook,sheet,topic,section,period_type,period,variable,variable_slug,measure,value,unit
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1993-94,Air,air,passenger_activity,24.428390787936756,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1993-94,Other,other,passenger_activity,23.623538276568798,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1993-94,Total,total,passenger_activity,290.26818921009703,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1994-95,Passenger cars,passenger_cars,passenger_activity,222.86625784025392,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1994-95,Buses,buses,passenger_activity,16.097266573720162,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1994-95,Rail,rail,passenger_activity,10.133597615515184,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1994-95,Air,air,passenger_activity,26.97606791586929,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1994-95,Other,other,passenger_activity,24.909274714010788,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1994-95,Total,total,passenger_activity,300.9824646593693,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1995-96,Passenger cars,passenger_cars,passenger_activity,226.0076568578848,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1995-96,Buses,buses,passenger_activity,16.615702488740265,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1995-96,Rail,rail,passenger_activity,10.446096618418613,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1995-96,Air,air,passenger_activity,28.98072231840373,billion passenger-km
