source_workbook,release_year,table,vehicle_type,manufacture_period,jurisdiction,vehicles
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2009 - 2013,QLD,6515.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2009 - 2013,SA,1718.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2009 - 2013,WA,3453.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2009 - 2013,TAS,611.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2009 - 2013,NT,318.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2009 - 2013,ACT,229.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2009 - 2013,AUS,29858.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2004 - 2008,NSW,9055.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2004 - 2008,VIC,7164.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2004 - 2008,QLD,7938.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2004 - 2008,SA,1917.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2004 - 2008,WA,3795.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2004 - 2008,TAS,810.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2004 - 2008,NT,326.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2004 - 2008,ACT,226.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2004 - 2008,AUS,31231.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,To 2003,NSW,9071.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,To 2003,VIC,5389.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,To 2003,QLD,8115.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,To 2003,SA,1526.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,To 2003,WA,2922.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,To 2003,TAS,1134.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,To 2003,NT,361.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,To 2003,ACT,180.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,To 2003,AUS,28698.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2019 - 2024,NSW,22462.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2019 - 2024,VIC,18425.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2019 - 2024,QLD,18395.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2019 - 2024,SA,5123.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2019 - 2024,WA,10427.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2019 - 2024,TAS,1616.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2019 - 2024,NT,897.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2019 - 2024,ACT,481.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2019 - 2024,AUS,77826.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2014 - 2018,NSW,22096.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2014 - 2018,VIC,17400.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2014 - 2018,QLD,15421.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2014 - 2018,SA,4393.0
