source_workbook,release_year,table,vehicle_type,year,motive_power,vehicles
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Non-freight-carrying vehicles,2024,total,38495.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2022,petrol,12429.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2022,diesel,35557.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2022,dual_fuel,1240.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2022,hybrid_electric,0.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2022,battery_fuel_cell_electric,5.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2022,other_or_not_specified,54.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2022,total,49285.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2023,petrol,12076.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2023,diesel,37644.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2023,dual_fuel,1190.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2023,hybrid_electric,0.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2023,battery_fuel_cell_electric,11.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2023,other_or_not_specified,47.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2023,total,50968.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2024,petrol,11691.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2024,diesel,39328.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2024,dual_fuel,1125.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2024,hybrid_electric,0.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2024,battery_fuel_cell_electric,22.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2024,other_or_not_specified,51.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2024,total,52217.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2022,petrol,952.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2022,diesel,43841.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2022,dual_fuel,108.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2022,hybrid_electric,13.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2022,battery_fuel_cell_electric,115.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2022,other_or_not_specified,1153.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2022,total,46182.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2023,petrol,918.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2023,diesel,44892.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2023,dual_fuel,109.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2023,hybrid_electric,24.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2023,battery_fuel_cell_electric,213.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2023,other_or_not_specified,1083.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2023,total,47239.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2024,petrol,872.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2024,diesel,45380.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2024,dual_fuel,110.0
