source_workbook,release_year,table,jurisdiction,year,motive_power,vehicles
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,ACT,2024,diesel,68537.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,ACT,2024,dual_fuel,663.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,ACT,2024,hybrid_electric,11781.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,ACT,2024,battery_fuel_cell_electric,6686.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,ACT,2024,other_or_not_specified,590.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,ACT,2024,total,337854.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,AUS,2022,petrol,14474594.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,AUS,2022,diesel,5688736.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,AUS,2022,dual_fuel,131555.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,AUS,2022,hybrid_electric,276985.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,AUS,2022,battery_fuel_cell_electric,38754.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,AUS,2022,other_or_not_specified,65972.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,AUS,2022,total,20676596.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,AUS,2023,petrol,14540690.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,AUS,2023,diesel,5992464.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,AUS,2023,dual_fuel,119962.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,AUS,2023,hybrid_electric,363972.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,AUS,2023,battery_fuel_cell_electric,79088.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,AUS,2023,other_or_not_specified,61560.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,AUS,2023,total,21157736.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,AUS,2024,petrol,14622425.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,AUS,2024,diesel,6298318.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,AUS,2024,dual_fuel,110005.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,AUS,2024,hybrid_electric,481388.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,AUS,2024,battery_fuel_cell_electric,167845.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,AUS,2024,other_or_not_specified,56985.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,AUS,2024,total,21736966.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,NSW,2021,petrol,4355954.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,NSW,2021,diesel,1487903.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,NSW,2021,dual_fuel,18607.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,NSW,2021,total,5954397.0
