source_workbook,release_year,table,vehicle_type,year,jurisdiction,average_age_years
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2023,TAS,18.62
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2023,NT,14.75
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2023,ACT,11.92
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2023,AUS,16.27
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2024,NSW,14.86
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2024,VIC,16.51
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2024,QLD,15.27
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2024,SA,18.42
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2024,WA,18.48
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2024,TAS,18.93
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2024,NT,14.89
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2024,ACT,11.99
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2024,AUS,16.25
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2022,NSW,12.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2022,VIC,12.52
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2022,QLD,12.18
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2022,SA,13.03
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2022,WA,13.53
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2022,TAS,12.05
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2022,NT,13.32
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2022,ACT,11.74
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2022,AUS,12.52
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2023,NSW,11.85
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2023,VIC,12.52
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2023,QLD,12.18
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2023,SA,13.15
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2023,WA,13.58
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2023,TAS,12.4
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2023,NT,13.53
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2023,ACT,12.44
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2023,AUS,12.52
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2024,NSW,11.71
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2024,VIC,12.5
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2024,QLD,12.14
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2024,SA,13.11
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2024,WA,13.56
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2024,TAS,12.44
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2024,NT,13.52
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2024,ACT,12.33
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Articulated trucks,2024,AUS,12.47
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2022,NSW,12.39
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2022,VIC,14.21
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2022,QLD,13.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2022,SA,12.52
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2022,WA,15.02
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2022,TAS,15.71
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2022,NT,13.82
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2022,ACT,11.36
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2022,AUS,13.67
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2023,NSW,12.58
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2023,VIC,14.13
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2023,QLD,13.14
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2023,SA,12.48
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2023,WA,14.75
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2023,TAS,15.62
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2023,NT,13.93
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2023,ACT,11.47
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2023,AUS,13.66
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2024,NSW,12.95
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2024,VIC,14.11
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2024,QLD,13.32
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2024,SA,12.36
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2024,WA,14.77
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2024,TAS,16.21
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2024,NT,14.01
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2024,ACT,11.41
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Non-freight-carrying vehicles,2024,AUS,13.76
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2022,NSW,10.45
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2022,VIC,12.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2022,QLD,11.66
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2022,SA,11.82
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2022,WA,11.5
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2022,TAS,13.58
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2022,NT,8.87
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2022,ACT,11.01
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2022,AUS,11.37
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2023,NSW,10.83
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2023,VIC,12.33
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2023,QLD,11.74
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2023,SA,11.91
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2023,WA,11.68
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2023,TAS,13.83
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2023,NT,9.01
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2023,ACT,11.16
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2023,AUS,11.6
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2024,NSW,11.1
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2024,VIC,12.8
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2024,QLD,11.89
