source_workbook,release_year,table,vehicle_type,year,motive_power,vehicles
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2022,total,46182.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy buses,2023,battery_fuel_cell_electric,213.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy buses,2023,diesel,44927.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy buses,2023,dual_fuel,106.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy buses,2023,hybrid_electric,50.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy buses,2023,other,1082.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2023,other_or_not_specified,1083.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy buses,2023,petrol,890.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy buses,2023,total,47268.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy buses,2024,battery_fuel_cell_electric,368.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy buses,2024,diesel,45447.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy buses,2024,dual_fuel,107.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy buses,2024,hybrid_electric,51.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy buses,2024,other,1004.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2024,other_or_not_specified,1006.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy buses,2024,petrol,843.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy buses,2024,total,47820.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy buses,2025,battery_fuel_cell_electric,629.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy buses,2025,diesel,46337.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy buses,2025,dual_fuel,99.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy buses,2025,hybrid_electric,61.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy buses,2025,other,966.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy buses,2025,petrol,824.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy buses,2025,total,48916.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Heavy rigid trucks,2021,battery_fuel_cell_electric,32.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Heavy rigid trucks,2021,diesel,354973.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Heavy rigid trucks,2021,dual_fuel,868.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Heavy rigid trucks,2021,hybrid_electric,74.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Heavy rigid trucks,2021,other,368.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Heavy rigid trucks,2021,petrol,11442.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Heavy rigid trucks,2021,total,367757.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2022,battery_fuel_cell_electric,51.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2022,diesel,364763.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2022,dual_fuel,855.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2022,hybrid_electric,88.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Heavy rigid trucks,2022,other,331.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2022,other_or_not_specified,331.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2022,petrol,10946.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2022,total,377034.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy rigid trucks,2023,battery_fuel_cell_electric,91.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy rigid trucks,2023,diesel,373705.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy rigid trucks,2023,dual_fuel,594.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy rigid trucks,2023,hybrid_electric,92.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy rigid trucks,2023,other,192.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2023,other_or_not_specified,275.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy rigid trucks,2023,petrol,9704.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy rigid trucks,2023,total,384378.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy rigid trucks,2024,battery_fuel_cell_electric,199.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy rigid trucks,2024,diesel,384602.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy rigid trucks,2024,dual_fuel,591.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy rigid trucks,2024,hybrid_electric,135.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy rigid trucks,2024,other,171.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2024,other_or_not_specified,250.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy rigid trucks,2024,petrol,9228.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy rigid trucks,2024,total,394926.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy rigid trucks,2025,battery_fuel_cell_electric,305.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy rigid trucks,2025,diesel,393924.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy rigid trucks,2025,dual_fuel,568.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy rigid trucks,2025,hybrid_electric,185.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy rigid trucks,2025,other,158.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy rigid trucks,2025,petrol,8806.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Heavy rigid trucks,2025,total,403946.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2022,battery_fuel_cell_electric,5.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2022,diesel,35557.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2022,dual_fuel,1240.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2022,hybrid_electric,0.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2022,other_or_not_specified,54.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2022,petrol,12429.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2022,total,49285.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light buses,2023,battery_fuel_cell_electric,11.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light buses,2023,diesel,38811.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light buses,2023,dual_fuel,1221.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light buses,2023,hybrid_electric,0.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light buses,2023,other,50.0
