source_workbook,release_year,table,vehicle_type,year,jurisdiction,vehicles
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Light buses,2022,ACT,444.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Light buses,2022,AUS,49285.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Light buses,2022,NSW,11979.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Light buses,2022,NT,1758.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Light buses,2022,QLD,12029.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Light buses,2022,SA,2967.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Light buses,2022,TAS,1367.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Light buses,2022,VIC,10386.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Light buses,2022,WA,8355.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2023,ACT,441.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2023,AUS,52700.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2023,NSW,12912.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2023,NT,1850.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2023,QLD,12499.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2023,SA,3262.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2023,TAS,1491.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2023,VIC,11176.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2023,WA,9069.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2024,ACT,431.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2024,AUS,53850.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2024,NSW,13295.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2024,NT,1922.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2024,QLD,12799.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2024,SA,3425.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2024,TAS,1518.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2024,VIC,11123.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2024,WA,9337.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2025,ACT,424.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2025,AUS,55716.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2025,NSW,13807.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2025,NT,1962.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2025,QLD,13264.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2025,SA,3561.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2025,TAS,1543.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2025,VIC,11423.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Light buses,2025,WA,9732.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Light commercial vehicles,2021,ACT,36441.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Light commercial vehicles,2021,AUS,3632434.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Light commercial vehicles,2021,NSW,989680.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Light commercial vehicles,2021,NT,48650.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Light commercial vehicles,2021,QLD,948872.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Light commercial vehicles,2021,SA,243825.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Light commercial vehicles,2021,TAS,121590.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Light commercial vehicles,2021,VIC,807194.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Light commercial vehicles,2021,WA,436182.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Light commercial vehicles,2022,ACT,37941.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Light commercial vehicles,2022,AUS,3784952.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Light commercial vehicles,2022,NSW,1029014.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Light commercial vehicles,2022,NT,49436.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Light commercial vehicles,2022,QLD,988778.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Light commercial vehicles,2022,SA,255221.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Light commercial vehicles,2022,TAS,126766.0
