year,dependence,scenario_family,lever,weak_alignment_probability,low_uptake_shortfall,renewable_shortfall,fossil_excess,emissions_excess,activity_excess
2026,gaussian,conservative,balanced_package,0.2703,0.05148830617098339,0.11335670085418129,0.2449746481426,0.12574550078414998,0.2873779720667616
2026,gaussian,conservative,delay_case,0.0,0.22264521520231847,0.3349293795337893,0.40795188713637637,0.2607273855667957,0.2873779720667616
2027,gaussian,conservative,none,0.0,0.18966176405432153,0.27949907085745296,0.3622136190084903,0.23161490984063066,0.2881701320188584
2027,gaussian,conservative,uptake_push,0.665,0.018581459895432976,0.27949907085745296,0.26497072154712614,0.23161490984063066,0.2881701320188584
2027,gaussian,conservative,renewable_push,0.0,0.18966176405432153,0.05948555466208378,0.3622136190084903,0.14455739963447126,0.2881701320188584
2027,gaussian,conservative,fossil_reduction,0.0,0.18966176405432153,0.27949907085745296,0.18188146535651095,0.12466835370617704,0.2881701320188584
2027,gaussian,conservative,balanced_package,0.27085,0.05157825874087125,0.11344087542590386,0.2455539640466262,0.12466835370617704,0.2881701320188584
2027,gaussian,conservative,delay_case,0.0,0.2226534499701638,0.33498968010902025,0.4085620790159959,0.25945622760779613,0.2881701320188584
2028,gaussian,conservative,none,0.0,0.18997105491366326,0.2777424953843077,0.36196298676936944,0.23112649064376561,0.29004873272402776
2028,gaussian,conservative,uptake_push,0.66365,0.01886838414930786,0.2777424953843077,0.2647990926851808,0.23112649064376561,0.29004873272402776
2028,gaussian,conservative,renewable_push,0.0,0.18997105491366326,0.05862952766829911,0.36196298676936944,0.14431835111910354,0.29004873272402776
2028,gaussian,conservative,fossil_reduction,0.0,0.18997105491366326,0.2777424953843077,0.181722001432099,0.12451708888169778,0.29004873272402776
2028,gaussian,conservative,balanced_package,0.26585,0.05189269268687674,0.11215313681852208,0.2453777117172474,0.12451708888169778,0.29004873272402776
2028,gaussian,conservative,delay_case,0.0,0.2229126202860528,0.333584419730504,0.40836873952572783,0.2590264187145546,0.29004873272402776
2029,gaussian,conservative,none,0.0,0.19027403011120858,0.27855281182973035,0.36056397297381665,0.23089828302768736,0.28588260789759695
2029,gaussian,conservative,uptake_push,0.66295,0.018753304029647457,0.27855281182973035,0.2635198483203487,0.23089828302768736,0.28588260789759695
2029,gaussian,conservative,renewable_push,0.0,0.19027403011120858,0.05932371807003138,0.36056397297381665,0.14400285468035567,0.28588260789759695
2029,gaussian,conservative,fossil_reduction,0.0,0.19027403011120858,0.27855281182973035,0.1806288066510499,0.12418508135810519,0.28588260789759695
2029,gaussian,conservative,balanced_package,0.2702,0.05198056514222951,0.11295276006519593,0.24416992789929454,0.12418508135810519,0.28588260789759695
2029,gaussian,conservative,delay_case,0.0,0.22318108320738855,0.3342326728868423,0.407101058872664,0.2588255960124059,0.28588260789759695
2030,gaussian,conservative,none,0.0,0.1898487692495155,0.2782554706541614,0.361373329592482,0.23160559764946148,0.28642018532022023
2030,gaussian,conservative,uptake_push,0.66515,0.019032972992626327,0.2782554706541614,0.26422096397603356,0.23160559764946148,0.28642018532022023
2030,gaussian,conservative,renewable_push,0.0,0.1898487692495155,0.059068180662298866,0.361373329592482,0.14440007342389086,0.28642018532022023
2030,gaussian,conservative,fossil_reduction,0.0,0.1898487692495155,0.2782554706541614,0.1812669300736803,0.12444787222736833,0.28642018532022023
2030,gaussian,conservative,balanced_package,0.26825,0.051943168632315545,0.1125330003594969,0.24485012378632026,0.12444787222736833,0.28642018532022023
2030,gaussian,conservative,delay_case,0.0,0.2228312708602717,0.3339947999463869,0.40780659242180445,0.25944803287956736,0.28642018532022023
2026,gaussian,stress_tail,none,0.0,0.31204895121667414,0.45768870687368424,0.594290701992639,0.38074079727080723,0.47340542047156314
2026,gaussian,stress_tail,uptake_push,0.233,0.07017839450353422,0.45768870687368424,0.463283237706884,0.38074079727080723,0.47340542047156314
2026,gaussian,stress_tail,renewable_push,0.0,0.31204895121667414,0.14243090045824588,0.594290701992639,0.2706870085463512,0.47340542047156314
2026,gaussian,stress_tail,fossil_reduction,0.0,0.31204895121667414,0.45768870687368424,0.34911559393702896,0.24317356136523757,0.47340542047156314
2026,gaussian,stress_tail,balanced_package,0.0,0.13504771520905032,0.2325045594340856,0.43620649680477097,0.24317356136523757,0.47340542047156314
2026,gaussian,stress_tail,delay_case,0.0,0.32378285744304136,0.47754138892200515,0.6108394299116472,0.39068700854635124,0.47340542047156314
2027,gaussian,stress_tail,none,0.0,0.31179148493840403,0.4564591672590956,0.5943888191211893,0.3813534604274321,0.4730193802579024
2027,gaussian,stress_tail,uptake_push,0.2331,0.07000451710707384,0.4564591672590956,0.46337846803199684,0.3813534604274321,0.4730193802579024
