year,dependence,scenario_family,weight_scheme,threshold_mode,cvar_level,mean_loss,p_tail_loss,cvar_loss
2030,independent,conservative,baseline,baseline,0.95,0.2275856936166496,0.31445029599251556,0.3330111113852923
2030,independent,conservative,equal,baseline,0.9,0.22526958574239214,0.2943375205474224,0.31758821746916327
2030,independent,conservative,equal,baseline,0.95,0.22526958574239214,0.31251679503228796,0.33233955094223416
2030,independent,conservative,uptake_heavy,baseline,0.9,0.22630343102582373,0.2917831295615404,0.3144900383108845
2030,independent,conservative,uptake_heavy,baseline,0.95,0.22630343102582373,0.31000813587651604,0.32872356794612767
2030,independent,conservative,grid_emissions_heavy,baseline,0.9,0.23288356525718149,0.31635188129013814,0.34046955112722965
2030,independent,conservative,grid_emissions_heavy,baseline,0.95,0.23288356525718149,0.3355735396871315,0.3559912741227904
2030,independent,conservative,fossil_heavy,baseline,0.9,0.2586075773854119,0.3431296166131539,0.36938810083077217
2030,independent,conservative,fossil_heavy,baseline,0.95,0.2586075773854119,0.36385120533210896,0.38624648537066136
2030,independent,conservative,baseline,strict,0.9,0.32646864725427277,0.39483747976702976,0.41756931876155773
2030,independent,conservative,baseline,strict,0.95,0.32646864725427277,0.41333324963013873,0.43189406502291555
2030,independent,conservative,equal,strict,0.9,0.32111991680076907,0.39018785160579933,0.4134385485275402
2030,independent,conservative,equal,strict,0.95,0.32111991680076907,0.40836712609066483,0.428189882000611
2030,independent,conservative,uptake_heavy,strict,0.9,0.33828874759070077,0.4037684461264173,0.4264753548757615
2030,independent,conservative,uptake_heavy,strict,0.95,0.33828874759070077,0.421993452441393,0.44070888451100465
2030,independent,conservative,grid_emissions_heavy,strict,0.9,0.3415816877288313,0.4250500037617879,0.4491676735988794
2030,independent,conservative,grid_emissions_heavy,strict,0.95,0.3415816877288313,0.44427166215878133,0.4646893965944401
2030,independent,conservative,fossil_heavy,strict,0.9,0.35457069694752325,0.43909273617526534,0.46535122039288357
2030,independent,conservative,fossil_heavy,strict,0.95,0.35457069694752325,0.4598143248942204,0.4822096049327729
2026,independent,central,baseline,lenient,0.9,0.10394357214767551,0.24083304416706094,0.2782047005905449
2026,independent,central,baseline,lenient,0.95,0.10394357214767551,0.27143629659438334,0.3012669349886804
2026,independent,central,equal,lenient,0.9,0.10993502011743585,0.26289293650745277,0.30152473129752716
2026,independent,central,equal,lenient,0.95,0.10993502011743585,0.2942389177102871,0.3234656249434594
2026,independent,central,uptake_heavy,lenient,0.9,0.08895630729247467,0.1889876152388079,0.21723332786929414
2026,independent,central,uptake_heavy,lenient,0.95,0.08895630729247467,0.21072451856516347,0.2346869214799392
2026,independent,central,grid_emissions_heavy,lenient,0.9,0.10099450225987493,0.22320321039904262,0.265007614899886
2026,independent,central,grid_emissions_heavy,lenient,0.95,0.10099450225987493,0.25515683098274305,0.2916328786092715
2026,independent,central,fossil_heavy,lenient,0.9,0.09765342511851631,0.20375845292178063,0.2496627890463348
2026,independent,central,fossil_heavy,lenient,0.95,0.09765342511851631,0.2372361403411181,0.2814184818268585
2026,independent,central,baseline,baseline,0.9,0.15771447212864115,0.30070041941424525,0.3478233486818648
2026,independent,central,baseline,baseline,0.95,0.15771447212864115,0.33889202940394614,0.37718998753583494
2026,independent,central,equal,baseline,0.9,0.16314533898487293,0.3222311435043258,0.37048197499823016
2026,independent,central,equal,baseline,0.95,0.16314533898487293,0.36150859257621626,0.40019275811293514
2026,independent,central,uptake_heavy,baseline,0.9,0.1397809632462979,0.2506346329789787,0.28591330139989635
2026,independent,central,uptake_heavy,baseline,0.95,0.1397809632462979,0.2776324593679178,0.3084912772543131
2026,independent,central,grid_emissions_heavy,baseline,0.9,0.1544817558019529,0.2948641351868759,0.34449247271074523
