source_workbook,sheet,geography,period_type,period,fuel_type,fuel_group,value,unit,is_estimate
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,NSW,calendar_year,2025,oil products,non_renewable,576.426,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,VIC,calendar_year,2025,oil products,non_renewable,267.02,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,QLD,calendar_year,2025,oil products,non_renewable,1160.692,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,WA,calendar_year,2025,oil products,non_renewable,1984.996,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,SA,calendar_year,2025,oil products,non_renewable,261.692,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,TAS,calendar_year,2025,oil products,non_renewable,14.959,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,NT,calendar_year,2025,oil products,non_renewable,518.836,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,AUS,calendar_year,2025,oil products,non_renewable,4784.621,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,NSW,calendar_year,2025,total non-renewable,subtotal_non_renewable,45674.564,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,VIC,calendar_year,2025,total non-renewable,subtotal_non_renewable,31637.112,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,QLD,calendar_year,2025,total non-renewable,subtotal_non_renewable,51979.198,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,WA,calendar_year,2025,total non-renewable,subtotal_non_renewable,35607.938,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,SA,calendar_year,2025,total non-renewable,subtotal_non_renewable,3576.659,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,TAS,calendar_year,2025,total non-renewable,subtotal_non_renewable,230.921,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,NT,calendar_year,2025,total non-renewable,subtotal_non_renewable,4770.87,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,AUS,calendar_year,2025,total non-renewable,subtotal_non_renewable,173477.261,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,NSW,calendar_year,2025,biomass,renewable,1038.141,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,VIC,calendar_year,2025,biomass,renewable,623.585,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,QLD,calendar_year,2025,biomass,renewable,1340.06,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,WA,calendar_year,2025,biomass,renewable,221.241,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,SA,calendar_year,2025,biomass,renewable,82.998,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,TAS,calendar_year,2025,biomass,renewable,34.715,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,NT,calendar_year,2025,biomass,renewable,7.133,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,AUS,calendar_year,2025,biomass,renewable,3347.873,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,NSW,calendar_year,2025,wind,renewable,7949.39,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,VIC,calendar_year,2025,wind,renewable,14595.187,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,QLD,calendar_year,2025,wind,renewable,4331.95,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,WA,calendar_year,2025,wind,renewable,4306.858,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,SA,calendar_year,2025,wind,renewable,7122.708,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,TAS,calendar_year,2025,wind,renewable,1940.883,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,NT,calendar_year,2025,wind,renewable,0.0,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,AUS,calendar_year,2025,wind,renewable,40246.976,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,NSW,calendar_year,2025,hydro,renewable,2681.544,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,VIC,calendar_year,2025,hydro,renewable,2437.0,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,QLD,calendar_year,2025,hydro,renewable,1525.26,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,WA,calendar_year,2025,hydro,renewable,72.591,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,SA,calendar_year,2025,hydro,renewable,4.644,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,TAS,calendar_year,2025,hydro,renewable,6762.927,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,NT,calendar_year,2025,hydro,renewable,0.03,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,AUS,calendar_year,2025,hydro,renewable,13483.996,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,NSW,calendar_year,2025,large-scale solar pv,renewable,9005.375,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,VIC,calendar_year,2025,large-scale solar pv,renewable,2873.103,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,QLD,calendar_year,2025,large-scale solar pv,renewable,6972.816,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,WA,calendar_year,2025,large-scale solar pv,renewable,1187.637,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,SA,calendar_year,2025,large-scale solar pv,renewable,1176.502,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,TAS,calendar_year,2025,large-scale solar pv,renewable,16.494,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,NT,calendar_year,2025,large-scale solar pv,renewable,134.339,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,AUS,calendar_year,2025,large-scale solar pv,renewable,21366.266,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,NSW,calendar_year,2025,small-scale solar pv,renewable,10692.993,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,VIC,calendar_year,2025,small-scale solar pv,renewable,6424.397,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,QLD,calendar_year,2025,small-scale solar pv,renewable,9460.359,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,WA,calendar_year,2025,small-scale solar pv,renewable,3914.479,GWh,true
