year,dependence,scenario_family,n_samples,mean_loss,p50_loss,p90_loss,cvar90_loss,weak_alignment_probability,fossil_persistence_probability,emissions_pressure_probability,activity_pressure_probability
2030,student_t,central,20000,0.151264305274149,0.14357271685532152,0.2907603648708105,0.3376950376906625,0.2137,0.72285,0.4994,0.4981
2026,student_t,optimistic,20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,student_t,optimistic,20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,student_t,optimistic,20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,student_t,optimistic,20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,student_t,optimistic,20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,student_t,stress_tail,20000,0.3731469786724908,0.3752179269008343,0.417132588047053,0.4297020552883295,0.0,1.0,1.0,1.0
2027,student_t,stress_tail,20000,0.3735609540664204,0.3755613127864834,0.41755481422331886,0.4300727687821599,0.0,1.0,1.0,1.0
2028,student_t,stress_tail,20000,0.3732774297174819,0.3752739021740889,0.4174701995360256,0.42960422720291674,0.0,1.0,1.0,1.0
2029,student_t,stress_tail,20000,0.3735719165990678,0.376011716734546,0.41712845353190353,0.42958067847421655,0.0,1.0,1.0,1.0
2030,student_t,stress_tail,20000,0.3734949140014881,0.37548773593684187,0.4175377480999327,0.4297790644629063,0.0,1.0,1.0,1.0
